event_id,state,latitude,longitude
usp000gyu4,New Jersey,39.644,-75.483
usp000gyxs,West Virginia,37.379,-80.746
usp000gz1d,Quebec,45.296,-73.475
usp000h1sz,New York,42.825,-78.239
usp000hab0,West Virginia,38.619,-80.909
usp000hgny,West Virginia,38.675,-80.82
usp000hj7k,West Virginia,38.818,-80.43
usp000hjhz,West Virginia,38.792,-80.398
usp000hng7,Ohio,39.433,-81.362
usp000hqs4,Pennsylvania,41.514,-80.333
usp000hrxd,New Jersey,40.859,-74.179
usp000hxng,Ohio,41.11,-80.68
usp000hz5p,New York,44.964,-74.588
usp000j15a,New York,44.673,-73.841
usp000j1a5,New Jersey,40.011,-74.796
usp000j7b5,Ohio,39.51,-81.47
usp000j7kq,Ohio,39.422,-81.205
usp000j8js,Ohio,41.115,-80.682
usp000jryp,New York,41.035,-73.543
usp000jsc2,West Virginia,39.509,-77.19
usp000jthp,Quebec,45.132,-74.147
usp000jucw,Quebec,45.219,-74.362
usp000juf3,New York,43.356,-78.634
usp000jv24,New Jersey,41.075,-74.222
ld60024003,Pennsylvania,41.238,-77.0555
ld60024103,Quebec,45.0995,-74.207
ld60038401,New York,44.895,-74.5235
ld60024403,New York,42.592,-74.1458
ld60024703,New York,43.8283,-74.236
ld60024803,New York,43.834,-74.1003
us2013ngal,Ohio,38.668,-82.215
ld60025903,New York,43.407,-78.3345
ld60026208,New York,43.9087,-73.9885
ld60026708,New York,42.8187,-78.2457
ld60044081,Pennsylvania,39.8485,-77.5933
4310521,West Virginia,38.4176,-80.9942
usp0000gyg,West Virginia,37.362,-81.624
se072013a,West Virginia,38.8956,-80.887
ld60028803,Quebec,44.9832,-74.6032
se073013a,West Virginia,38.8393,-80.9087
se081613a,West Virginia,38.8414,-80.9387
ld60047501,New York,43.351,-73.7943
ld60047561,New York,44.6673,-74.0823
ld60030208,New York,42.5963,-76.9065
usb000kbcn,Kentucky,38.506,-82.7978
se101913a,West Virginia,37.7476,-80.6433
ld60031608,New York,44.9553,-74.806
ld60054666,Pennsylvania,39.9273,-76.324
ld60033303,New York,44.5608,-75.1253
ld60063426,New York,45.0958333,-73.646
ld60065706,New York,44.7683333,-73.8276667
ld60065831,New York,44.5101667,-75.9473333
ld60034903,New York,44.9763333,-74.8253333
ld60035403,New York,41.319,-73.6928333
ld60069171,New Jersey,40.9516667,-74.397
usc000rccm,West Virginia,38.6438,-81.5855
ld60072806,New York,41.3643333,-73.9343333
ld60072861,New Jersey,40.7226667,-74.1138333
ld60074281,New York,43.579,-78.6248333
ld60074876,New York,43.4063333,-73.9891667
ld60078011,New York,42.9395,-74.4311667
ld60078511,Ohio,41.196,-80.7765
ld60078891,New Jersey,41.018,-74.0321667
ld60038803,New York,43.2981667,-78.3395
ld60084066,New York,43.6283333,-73.9718333
ld60084601,New York,43.1398333,-78.777
ld60039103,Quebec,43.5065,-79.1693333
ld60042808,Quebec,45.0808333,-74.2346667
4369548,West Virginia,37.8076,-82.1206
4815596,New York,44.7705,-74.9714
4372707,New York,43.0108,-76.4098
4374136,West Virginia,37.8606,-81.6165
4225371,West Virginia,38.0555,-81.6617
4310595,West Virginia,37.9899,-81.3333
usp0000quc,New York,44.387,-73.889
usp0000txk,New York,43.855,-74.242
usp0000u9r,West Virginia,39.697,-78.237
usp000ea6t,New Jersey,41.159,-74.557
usp000g042,New York,42.698,-74.365
usp000jgne,New York,42.754,-77.855
ld60041203,Pennsylvania,39.999,-75.6573333
ld60096111,New Jersey,41.054,-74.2945
ld60084261,Connecticut,41.0011667,-73.6486667
usp0007s23,Pennsylvania,40.268,-76.141
usp000fa43,Pennsylvania,40.231,-75.892
ld60093131,New York,43.4086667,-79.1936667
ld60043003,New York,44.011,-75.1721667
ld60096256,Quebec,45.1875,-73.9578333
ld60097401,New York,44.5326667,-73.7243333
ld60098866,Pennsylvania,39.892,-76.4083333
ld60100581,New Jersey,40.8935,-74.3375
4310999,West Virginia,37.1799,-81.8663
usp0000bd0,New York,44.896,-73.574
4766676,West Virginia,38.0969,-82.0546
4371887,West Virginia,37.3466,-81.4547
4223501,West Virginia,37.8172,-81.7819
4766866,West Virginia,39.7113,-79.735
4369356,New York,43.0225,-76.4203
4369414,West Virginia,37.6355,-82.6168
4094794,West Virginia,37.3689,-81.6311
4309659,West Virginia,37.7563,-82.1132
usp0000c1u,New York,41.43,-73.788
usp0000d97,New York,41.593,-73.933
usp0001eh9,Quebec,45.106,-74.606
