event_id,magnitude,mag_type,depth
usp000gyu4,2.8,md,5000
usp000gyxs,2.8,mblg,11500
usp000gz1d,2.1,md,18000
usp000h1sz,2.4,md,5000
usp000hab0,3.4,mblg,100
usp000hgny,2.4,md,2300
usp000hj7k,2.5,md,17000
usp000hjhz,2.5,md,10700
usp000hng7,2.8,mblg,5000
usp000hqs4,2.7,mblg,5000
usp000hrxd,2.1,md,2000
usp000hxng,2.6,mblg,5000
usp000hz5p,2.4,md,17000
usp000j15a,2.6,ml,10000
usp000j1a5,1.9,ml,5000
usp000j7b5,3.1,mblg,5000
usp000j7kq,2.6,mblg,5000
usp000j8js,2.5,mblg,5000
usp000jryp,2.1,ml,4300
usp000jsc2,2.2,ml,6000
usp000jthp,3.0,mblg,18000
usp000jucw,2.6,mblg,18000
usp000juf3,2.5,ml,5000
usp000jv24,2.0,ml,5000
ld60024003,2.3,Ml,10800
ld60024103,2.0,Ml,4900
ld60038401,2.0,Ml,12500
ld60024403,2.2,Ml,15400
ld60024703,2.3,Ml,5000
ld60024803,1.6,Ml,12800
us2013ngal,2.5,md,15400
ld60025903,1.9,Ml,6800
ld60026208,1.5,Ml,7100
ld60026708,1.4,Ml,9900
ld60044081,2.1,Ml,5000
4310521,2.5,ML,1400
usp0000gyg,4.7,mb,5000
se072013a,2.7,MbLg,21200
ld60028803,1.4,Ml,4100
se073013a,2.8,Md,12700
se081613a,2.6,MbLg,6100
ld60047501,2.7,Ml,10200
ld60047561,2.0,Ml,13900
ld60030208,2.0,Ml,5000
usb000kbcn,2.2,md,5700
se101913a,2.2,Md,8200
ld60031608,1.8,ml,5000
ld60054666,1.8,ml,5000
ld60033303,1.8,ml,7500
ld60063426,2.75,ml,12000
ld60065706,1.75,ml,5000
ld60065831,2.06,ml,4170
ld60034903,1.32,ml,9410
ld60035403,1.73,ml,3000
ld60069171,1.86,ml,8000
usc000rccm,2.6,md,29600
ld60072806,2.53,ml,5000
ld60072861,1.62,ml,11120
ld60074281,1.49,ml,4540
ld60074876,1.56,ml,7000
